Province,Biomass\timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_06,2. Rice Husk,7624.47,37962.75,12693.45,4475.73,2260.65,282.45,5390.91,7443.45,20931.96,25210.71,10126.41,3262.56
Province_06,3. Sugarcane leaves,12442.47,12442.47,0,0,0,0,0,0,0,0,0,12442.47
Province_06,4. Bagasse,20493.48,20493.48,0,0,0,0,0,0,0,0,0,20493.48
Province_06,5. Molasse,3659.55,3659.55,0,0,0,0,0,0,0,0,0,3659.55
Province_06,6. Corn leaves & trunk,145.36,86.48,55.2,53.36,44.16,18.4,60.72,406.64,859.28,607.2,759.92,51.52
Province_06,7. Corncobob,18.96,11.28,7.2,6.96,5.76,2.4,7.92,53.04,112.08,79.2,99.12,6.72
Province_06,8. Peeled cassava,93816.72,129351.6,133822.8,14711.76,34233.84,6167.52,1923.84,4526.64,15390.72,46342.8,45097.92,40457.52
Province_06,9. Cassava rhizome,26060.2,35931,37173,4086.6,9509.4,1713.2,534.4,1257.4,4275.2,12873,12527.2,11238.2
Province_06,10. Cassava fiber,7818.06,10779.3,11151.9,1225.98,2852.82,513.96,160.32,377.22,1282.56,3861.9,3758.16,3371.46
Province_06,11. Cassava peels,36484.28,50303.4,52042.2,5721.24,13313.16,2398.48,748.16,1760.36,5985.28,18022.2,17538.08,15733.48
Province_06,12 Oil palm bunch,974.4,1029.76,1075.52,1186.24,1455.68,1767.68,1846.72,1675.84,1404.8,1217.92,1126.08,1078.72
Province_06,13. Oil palm fiber,578.55,611.42,638.59,704.33,864.31,1049.56,1096.49,995.03,834.1,723.14,668.61,640.49
Province_06,14. Oil palm shell,121.8,128.72,134.44,148.28,181.96,220.96,230.84,209.48,175.6,152.24,140.76,134.84
Province_06,15. Coconut bunch,85706.31,89424.4,90261.05,86170.89,83010.47,39320.81,37554.71,67300.88,85427.33,83196.36,90725.92,91469.48
Province_06,16. Coconut bract,97527.87,101758.8,102710.85,98056.53,94460.19,44744.37,42734.67,76583.76,97210.41,94671.72,103239.84,104085.96
Province_06,17. Coconut shell,73884.75,77090,77811.25,74285.25,71560.75,33897.25,32374.75,58018,73644.25,71721,78212,78853
Province_07,1. Rice straw,11219.04,7678.3,86088.1,52859.24,8205.05,2886.59,13911.59,80823.54,53600.12,15302.21,39503.8,57154.58
Province_07,2. Rice Husk,4808.16,3290.7,36894.9,22653.96,3516.45,1237.11,5962.11,34638.66,22971.48,6558.09,16930.2,24494.82
Province_07,3. Sugarcane leaves,57286.03333,57286.03333,0,0,0,0,0,0,0,0,0,57286.03333
Province_07,4. Bagasse,94353.46667,94353.46667,0,0,0,0,0,0,0,0,0,94353.46667
Province_07,5. Molasse,16848.83333,16848.83333,0,0,0,0,0,0,0,0,0,16848.83333
Province_07,6. Corn leaves & trunk,307.28,336.72,294.4,844.56,594.32,18.4,31.28,246.56,583.28,2027.68,6579.84,2585.2
Province_07,7. Corncobob,40.08,43.92,38.4,110.16,77.52,2.4,4.08,32.16,76.08,264.48,858.24,337.2
Province_07,8. Peeled cassava,22883.76,50335.92,17603.28,4475.52,2197.44,506.16,0,0,0,2922.48,8100,6028.56
Province_07,9. Cassava rhizome,6356.6,13982.2,4889.8,1243.2,610.4,140.6,0,0,0,811.8,2250,1674.6
Province_07,10. Cassava fiber,1906.98,4194.66,1466.94,372.96,183.12,42.18,0,0,0,243.54,675,502.38
Province_07,11. Cassava peels,8899.24,19575.08,6845.72,1740.48,854.56,196.84,0,0,0,1136.52,3150,2344.44
Province_07,12 Oil palm bunch,8.96,9.28,9.6,13.12,16.64,17.6,19.52,20.8,21.44,20.8,20.8,20.48
Province_07,13. Oil palm fiber,5.32,5.51,5.7,7.79,9.88,10.45,11.59,12.35,12.73,12.35,12.35,12.16
Province_07,14. Oil palm shell,1.12,1.16,1.2,1.64,2.08,2.2,2.44,2.6,2.68,2.6,2.6,2.56
Province_07,15. Coconut bunch,1129.55,5220.87,4280.11,439.35,876.67,0,189.95,0,348.87,2406.71,1188.71,2347.84
Province_07,16. Coconut bract,1285.35,5940.99,4870.47,499.95,997.59,0,216.15,0,396.99,2738.67,1352.67,2671.68
Province_07,17. Coconut shell,973.75,4500.75,3689.75,378.75,755.75,0,163.75,0,300.75,2074.75,1024.75,2024
Province_08,1. Rice straw,0,0,1375.92,14725.97,2607.78,85.75,33.81,0,0,158.27,151558.96,12881.12
Province_08,2. Rice Husk,0,0,589.68,6311.13,1117.62,36.75,14.49,0,0,67.83,64953.84,5520.48
Province_08,3. Sugarcane leaves,237306.23,237306.23,0,0,0,0,0,0,0,0,0,237306.23
