Province,Biomass (tons) \timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_10,5. Molasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,3. Sugarcane leaves,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,4. Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,5. Molasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,3. Sugarcane leaves,1558347.738,38258336.8,0,0,0,0,0,0,0,0,0,3375083.984
Province_12,4. Bagasse,2566690.392,63013731.2,0,0,0,0,0,0,0,0,0,5558961.856
Province_12,5. Molasse,458337.57,11252452,0,0,0,0,0,0,0,0,0,992671.76
Province_12,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_12,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,3. Sugarcane leaves,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,4. Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_13,5. Molasse,0,0,0,0,0,0,0,0,0,0,0,0
