Consumer list,1,2,3,4,5,6,7,8,9,10,11,12,,
Province_66,121580.9434,118726.857,129845.2485,120279.3546,126387.413,121729.9204,125767.9822,125634.687,125321.0511,120373.4453,116845.0418,113818.4557,,
Province_67,249102.0725,243254.4551,266034.4589,246435.3019,258949.8456,249407.3052,257680.7199,257407.6169,256765.0216,246628.0805,239398.8833,233197.8385,,
Province_68,76103.80752,74317.28709,81276.86396,75289.07568,79112.42574,76197.05997,78724.69191,78641.25551,78444.93458,75347.97195,73139.36152,71244.86457,,
Province_69,55457.805,54155.94501,59227.47651,54864.09962,57650.22306,55525.75923,57367.67653,57306.87537,57163.81384,54907.01808,53297.57579,51917.03195,,
Province_70,77347.77498,75532.05267,82605.38848,76519.7258,80405.57106,77442.5517,80011.49947,79926.69925,79727.16932,76579.58477,74334.87313,72409.40937,,
Province_71,50144.42462,48967.29509,53552.92608,49607.60181,52126.78837,50205.8682,51871.31246,51816.33663,51686.98173,49646.40828,48191.16573,46942.891,,
Province_72,130819.0893,127748.1395,139711.3452,129418.6012,135990.7714,130979.3861,135324.274,135180.8505,134843.3835,129519.8413,125723.3374,122466.7806,,
Province_73,125100.6963,122163.9845,133604.2519,123761.4266,130046.3126,125253.9862,129408.9493,129271.7952,128949.0796,123858.2413,120227.691,117113.4856,,
Province_74,27521.57459,26875.51157,29392.31751,27226.94146,28609.58731,27555.29766,28469.37034,28439.19706,28368.20113,27248.24024,26449.53596,25764.42518,,
Province_75,38794.42697,37883.73618,41431.42723,38379.11194,40328.09031,38841.96303,40130.44039,40087.90813,39987.83221,38409.13472,37283.28071,36317.54817,,
Province_76,35805.04781,34964.53205,38238.84895,35421.73568,37220.53177,35848.92089,37038.11214,36998.85729,36906.49292,35449.44499,34410.34583,33519.02967,,
Province_77,29835.93265,29135.54058,31863.99102,29516.52308,31015.43908,29872.49158,30863.43091,30830.72029,30753.75413,29539.61293,28673.74361,27931.02014,,
