Plant code,Latitude,Longitude
F_BMtE 075,15.03735337,104.7771228
F_BMtE 076,15.03721349,104.7771166
F_BMtE 077,16.31672097,103.5725779
F_BMtE 078,16.4645618,104.0364224
F_BMtE 079,15.23190399,103.0677783
F_BMtE 080,15.61479137,103.7822438
F_BMtE 081,14.76127127,102.2021376
F_BMtE 082,14.57936785,103.3440134
F_BMtE 083,17.37554194,103.1801054
F_BMtE 084,14.49640993,102.1640118
F_BMtE 085,10.69189992,99.19574678
F_BMtE 086,8.226250236,99.03441286
F_BMtE 087,6.540232445,101.2192648
F_BMtE 088,7.723366913,99.32487023
F_BMtE 089,6.949218441,100.397702
F_BMtE 090,9.281170533,99.14025361
F_BMtE 091,16.92924763,103.5444286
F_BMtE 092,16.48791385,102.4283415
F_BMtE 093,14.49302366,102.1734801
F_BMtE 094,15.37401897,100.2394996
F_BMtE 095,16.22299848,99.88744354
F_BMtE 096,14.84765491,101.0370669
F_BMtE 097,13.80065749,99.55621921
F_BMtE 098,16.48242766,102.1200762
F_BMtE 099,15.04837766,101.0909369
F_BMtE 100,14.86097036,100.3597348
F_BMtE 101,14.54628396,100.7026595
F_BMtE 102,13.90890771,102.0491984
F_BMtE 103,15.61588665,99.84105981
F_BMtE 104,15.12514852,102.4480376
F_BMtE 105,16.08346512,103.6445434
F_BMtE 106,16.64433327,102.7710532
F_BMtE 107,17.19401269,104.0613994
F_BMtE 108,16.57254969,100.3562482
F_BMtE 109,13.95126902,99.72548869
F_BMtE 110,16.73372182,102.8390752
F_BMtE 111,17.28156245,102.2537957
F_BMtE 112,8.074696237,99.32664755
F_BMtE 113,15.22162427,103.0713571
F_BMtE 114,16.11649209,100.2039811
F_BMtE 115,14.79191609,102.5944094
F_BMtE 116,8.153889568,99.02227475
F_BMtE 117,15.4219104,100.6779661
F_BMtE 118,15.16542373,105.3477379
F_BMtE 119,16.92943238,103.5443127
F_BMtE 120,13.9473956,99.67167254
F_BMtE 121,15.85831558,99.63296358
F_BMtE 122,17.33843112,102.892722
F_BMtE 123,6.793873083,100.7043845
F_BMtE 124,17.34795531,100.083031
F_BMtE 125,17.53671856,100.4024792
F_BMtE 126,14.69585909,100.0914045
F_BMtE 127,17.83874737,99.87539183
F_BMtE 128,14.96991042,99.77414765
F_BMtE 129,15.40652014,101.6366855
F_BMtE 130,13.54754507,100.173903
F_BMtE 131,14.86139553,100.3589126
F_BMtE 132,9.082561351,99.42760993
F_BMtE 133,8.353995974,99.34951141
F_BMtE 134,16.35506218,99.59652673
F_BMtE 135,14.42323632,100.9101653
F_BMtE 136,16.36958639,99.60581436
F_BMtE 137,15.47503356,101.1485736
F_BMtE 138,15.78381874,100.0866752
F_BMtE 139,16.1464029,99.68146156
F_BMtE 140,14.19109881,100.3178305
F_BMtE 141,13.83946679,99.86272922
F_BMtE 142,6.855731656,100.9337882
F_BMtE 143,15.18771095,103.1972065
F_BMtE 144,5.980564445,101.9392683
F_BMtE 145,7.312335854,100.1515784
F_BMtE 146,14.32547139,99.47824457
F_BMtE 147,13.15881874,101.3334215
F_BMtE 148,8.519257828,9.226460904
F_BMtE 149,13.19656956,101.2494539
F_BMtE 150,13.97504699,99.33721268
F_BMtE 151,12.39883534,99.89851475
F_BMtE 152,17.28238358,102.2546113
F_BMtE 153,6.854138729,100.0473516
F_BMtE 154,8.601918994,99.00442632
F_BMtE 155,13.87536845,101.9735038
F_BMtE 156,14.89925288,100.438369
F_BMtE 157,8.396733641,99.56148565
F_BMtE 158,8.516048303,99.93126788
F_BMtE 159,17.16619385,100.2790092
F_BMtE 160,13.94552419,99.65328693
F_BMtE 161,8.522159397,99.49545432
F_BMtE 162,6.798821145,100.7113997
F_BMtE 163,18.0525971,99.78591345
F_BMtE 164,5.777975686,101.0605978
F_BMtE 165,14.90028814,101.7005214
F_BMtE 166,14.43943069,99.52194657
F_BMtE 167,14.34417549,99.75205983
F_BMtE 168,16.46875151,104.0407892
F_BMtE 170,16.18265576,99.71210759
F_BMtE 171,15.27861708,101.1501778
F_BMtE 172,16.48805509,102.4285101
F_BMtE 173,16.73373724,102.8389796
F_BMtE 174,16.59498671,102.8102705
F_BMtE 175,13.75955013,101.5020628
F_BMtE 176,13.49327658,100.963746
F_BMtE 179,16.47685896,102.1224149
F_BMtE 180,17.18898599,101.8260212
F_BMtE 181,16.48250996,102.1190021
F_BMtE 182,10.29259567,99.09130792
F_BMtE 183,15.73365049,102.2896885
F_BMtE 184,15.07590062,102.2060805
F_BMtE 185,8.086933135,100.1414215
F_BMtE 186,8.220762582,99.57432513
F_BMtE 187,15.37651903,100.238556
F_BMtE 188,15.37593277,100.2370486
F_BMtE 189,15.78325248,100.0842182
F_BMtE 191,10.95940499,99.40624955
F_BMtE 192,16.0711602,100.3964761
F_BMtE 193,15.46246006,101.1095288
F_BMtE 194,6.567883404,101.2068424
F_BMtE 195,16.11324672,103.5715823
F_BMtE 196,13.28996026,101.3418053
F_BMtE 197,17.77876088,99.25046344
F_BMtE 198,13.78306937,102.2094635
F_BMtE 199,13.78486159,102.209163
F_BMtE 200,13.41645076,101.2102326
F_BMtE 201,14.84239111,101.1011222
F_BMtE 202,15.219958,100.796261
F_BMtE 203,14.83895057,101.0720468
F_BMtE 204,14.83907825,99.76235291
F_BMtE 205,14.8404887,99.76484307
F_BMtE 206,14.84204434,99.76210605
F_BMtE 207,14.40550347,99.89506576
F_BMtE 208,8.960292357,99.22287774
F_BMtE 209,8.976020469,99.87869312
F_BMtE 210,14.87327782,103.6041743
F_BMtE 211,14.86929685,103.6104505
F_BMtE 212,14.6248977,103.2739952
F_BMtE 213,17.10036352,103.0240839
F_BMtE 214,17.65839535,100.2070798
F_BMtE 215,15.63196479,99.66792195
F_BMtE 216,18.36280303,100.4096891
F_BMtE 217,9.280038612,99.1393144
F_BMtE 218,8.071851078,99.32639965
F_BMtE 219,6.673297425,100.9611256
F_BMtE 220,14.3253256,99.85226606
F_BGtE_1,13.28993325,101.3419389
F_BGtE_2,13.95711969,99.64109235
F_BGtE_3,14.05707631,99.76664752
F_BGtE_4,14.10525437,99.5212471
F_BGtE_5,13.93586975,100.399588
F_BGtE_6,13.43211182,99.81506577
F_BGtE_7,13.82940341,99.86354302
F_BGtE_8,13.58002287,99.97479673
F_BGtE_9,13.5175061,99.95442403
F_BGtE_10,13.59366859,99.93888324
F_BGtE_11,13.68941828,99.96886454
F_BGtE_12,13.72682378,99.74171477
F_BGtE_13,13.51693889,99.72874495
F_BGtE_14,14.63784005,100.9795971
F_BGtE_15,14.63253156,99.8411564
